No;Nostr;Type;BHMCat;SourceCat;SourceID;SysID;RA;DEC;Pbin;abin;ebin;wbin;Z;Fe/H;FeHerr;ibin;taumin;taumax;vsini1;vsin1err;vsini2;vsini2err;Prot1;Prot1err;Prot2;Prot2err;V;BV;M1;M1err;M2;M2err;q;R1;R1err;R2;R2err;T1;T1err;T2;T2err;logg1;logg1err;logg2;logg2err;S-type1;S-type2;Lx;Planets;SysADS
0037;0037;V;BHMCat0037V;EkCat;113;LSPM J1112+7626;-1;-1;41,032336;0,2038755;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1,000;-1,000;-1,000;-1,000;-1;-1;-1;-1;-1;-1;0,395;0,002;0,275;0,001;0,696;0,381;0,005;0,300;0,005;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2011ApJ...742..123I;"
0038;0038;V;BHMCat0038V;EkCat;3;V69-47 Tuc ;-1;-1;29,53975;0,2248216;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1,0;-1,0;-1,0;-1,0;-1;-1;-1;-1;-1;-1;0,876;0,005;0,859;0,006;0,981;1,315;0,005;1,162;0,006;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2010AJ....139..329T ;"
0039;0039;V;BHMCat0039V;EkCat;9;AI Phe;-1;-1;24,592325;0,2224943;-1;-1,0000;-1;-1;-1;-1;-1;-1;6,00;1,00;4,00;1,00;-1;-1;-1;-1;-1;-1;1,236;0,005;1,195;0,004;0,967;2,930;0,048;1,816;0,024;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"1988A&A...196..128A;"
0040;0040;V;BHMCat0040V;EkCat;238;LL Aqr;-1;-1;20,178241;0,1909820;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1,0;-1,0;-1;-1,000;-1;-1;-1;-1;-1;-1;1,223;0,058;1,056;0,051;0,863;1,325;0,020;1,005;0,016;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008MNRAS.390..958I;"
0041;0041;V;BHMCat0041V;EkCat;187;V565 Lyr;-1;-1;18,798638;0,1722702;-1;-1,0000;-1;-1;-1;-1;-1;-1;4,00;1,00;3,50;1,00;-1;-1;-1;-1;-1;-1;0,996;0,003;0,929;0,003;0,933;1,101;0,007;0,971;0,009;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2011A&A...525A...2B;"
0042;0042;V;BHMCat0042V;EkCat;154;LV Her;-1;-1;18,4359535;0,1820916;-1;-1,0000;-1;-1;-1;-1;-1;-1;13,00;1,00;13,00;1,00;-1;-1;-1;-1;-1;-1;1,193;0,010;1,170;0,008;0,981;1,358;0,012;1,313;0,011;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2009AJ....138.1622T;"
0043;0043;V;BHMCat0043V;EkCat;198;KIC 6131659;-1;-1;17,52782716;0,1547685;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,922;0,007;0,685;0,005;0,743;0,880;0,003;0,640;0,006;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008AN....329..835B;"
0044;0044;V;BHMCat0044V;EkCat;188;V568 Lyr ;-1;-1;14,469918;0,1440627;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1,0;-1,0;-1,0;-1,0;-1;-1;-1;-1;-1;-1;1,074;0,008;0,827;0,004;0,770;1,399;0,016;0,768;0,006;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008A&A...492..171G;"
0045;0045;V;BHMCat0045V;EkCat;74;TYC 176-2950-1;-1;-1;11,55478;0,1280040;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,055;0,008;1,041;0,008;0,987;1,650;0,030;1,180;0,020;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2008AN....329..835B;"
0046;0046;V;BHMCat0046V;EkCat;173;BF Dra;-1;-1;11,2110047;0,0960729;-1;-1,0000;-1;-1;-1;-1;-1;-1;10,50;1,80;9,00;1,80;-1;-1;-1;-1;-1;-1;1,414;0,003;1,375;0,003;0,972;2,086;0,012;1,922;0,012;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2012AJ....143..129S;"
0047;0047;V;BHMCat0047V;EkCat;176;HP Dra;-1;-1;10,76152;0,1246992;-1;-1,0000;-1;-1;-1;-1;-1;-1;4,22;0,01;4,43;0,01;-1;-1;-1;-1;-1;-1;1,133;0,005;1,094;0,007;0,966;1,371;0,012;1,052;0,010;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2010AJ....140..129M;"
0048;0048;V;BHMCat0048V;EkCat;239;RW Lac;-1;-1;10,3692046;0,1125505;-1;-1,0000;-1;-1;-1;-1;-1;-1;2,00;2,00;0,00;2,00;-1;-1;-1;-1;-1;-1;0,928;0,006;0,870;0,004;0,938;1,186;0,004;0,964;0,004;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2005AJ....130.2838L;"
0049;0049;V;BHMCat0049V;EkCat;68;HS Aur;-1;-1;9,8153770;0,1087802;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,898;0,019;0,877;0,017;0,977;1,005;0,023;0,874;0,030;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"1986AJ.....91..383P;"
0050;0050;V;BHMCat0050V;EkCat;27;TV Cet;-1;-1;9,103291;0,1170655;-1;-1,0000;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1,340;0,050;1,230;0,050;0,918;1,470;0,020;1,210;0,010;-1;-1;-1;-1;-1;-1;-1;-1;-;-;-1;-;"2010NewA...15..356B;"
